emotion_cluster,song_title,artist,genre
happy,Gaallo Thelinattunde,Tippu and Gopika Poornima,Dance
happy,Chitti,Ram Miriyala,Melodic Romantic  
happy,Baitikochi Chuste,Anirudh Ravichander,Upbeat Dance  
happy,Urike Urike,Sid Sriram,Light Romantic  
happy,Apudo Ipudo,Siddharth,Fun Groove  
happy,Akasam Ammayaithe,Devi Sri Prasad,Romantic  
happy,Vachindamma,Sid Sriram,Energetic Folk Dance  
happy,Eppudo Ninnu,Yazin Nizar,Soothing Romantic  
happy,Time To Party,Devi Sri Prasad,Dance Party  
happy,Come To The Party,Devi Sri Prasad,Dance Party  
sad,Nee Prashnalu,S.P.Balasubrahmanyam,Romantic  
sad,Life Of Ram,Pradeep Kumar,Inspirational  
sad,Mari Antaga,Mickey J.Mayor,Romantic  
sad,Oke Oka Jeevitham,Charan,Emotional Melodic  
sad,Luckkanna Mate Nillu,Anirudh Ravichander,Light Romantic  
sad,Adiga Adiga,Sid Sriram,Folk Masala  
sad,Emai Poyave,Sid Sriram,Romantic  
sad,Needa Padadhani,Darshan Raval,Melancholic Romantic  
sad,Chilipiga,Karthik,Peppy  
sad,Toli Prema,Kaala Bhairava,Romantic  
angry,Dum Masala,S Thaman,Love Ballad  
angry,Massu Maranam,Anirudh Ravichander,Mass/Energetic  
angry,My Name Is Billa,Ranjith Govind,Mass/Energetic  
angry,Chalore Chalore,Ranjith Govind,Mass/Intro  
angry,Aaradugula Bullet,Devi Sri Prasad,Upbeat Dance  
angry,Fear Song,Anirudh Ravichander,Romantic  
angry,Rao Gari Abbai,Megha and Tippu,Mass/Energetic  
angry,Yem Cheddham,Mickey J.Mayor,Light Romantic  
angry,Nippulanti Nirudyogi,Anirudh Ravichander,Folk Touch  
angry,Hungry Cheetah,S Thaman,Romantic  
anxious,Light Theesko,Baba Sehgal and Murali,Motivational  
anxious,Maate Vinadhuga,Sid Sriram,Inspirational  
anxious,Chitti Story,Anirudh Ravichander,Soothing Romantic  
anxious,Prayathname,Kailash Kher,Fun Romantic  
anxious,Ye Mera Jahaÿ,Mani Sharma,Introspective  
anxious,Arare Manasa,Sid Sriram,Romantic  
anxious,Needhe Needhe,Aavani Malhar,Emotional  
anxious,Spirit Of Jersey,Kaala Bhairava,Peppy  
anxious,My Faith My Mentor (Epilogue),MM Keeravaani,Folk Romantic  
anxious,Le Padha Padhaa,Armaan Malik,Romantic Ballad  
calm,Inthandham,S.P.Charan,Peppy Folk  
calm,Niluvaddham,Karthik,Romantic Festival  
calm,Evare,Vijay Yesudas,Emotional Romantic  
calm,Em Sandeham Ledu,Kalyani Malik and Sunitha,Spiritual Inspirational  
calm,Monna Kanipinchavu,Harris Jayaraj,Uplifting Chorus  
calm,Idhedho Bagundhe,Anitha Karthikeyan andÿVijay Prakash,Peppy Romantic  
calm,Hoyna Hoyna,Anirudh Ravichander,Light Romantic  
calm,O Cheliya,Unnikrishnan,Energetic Dance  
calm,Gudilo Madilo Badilo,Devi Sri Prasad,Folk Romantic  
calm,Hey Pillagaada,Sindhuri and Sinov Raj,Light Romantic
